,countries,export_product_diversity,import_product_diversity,is_latinoamerica,year
100,IRN,3.246083653018513,380.11498000449103,False,1995
101,IRQ,2.026985167000796,15.147630408013256,False,1995
102,ISL,34.98557144058085,701.4748186877961,False,1995
103,ISR,180.25440082942845,525.8439333503178,False,1995
104,ITA,1058.034021144702,921.7074109000836,False,1995
105,JAM,25.0515055077927,263.1073494956648,True,1995
106,JOR,59.38722432062601,567.9213176419095,False,1995
107,JPN,430.5291178535202,528.8873837613497,False,1995
108,KAZ,49.70375660347168,477.052647610745,False,1995
109,KEN,59.45398697995146,542.997710936646,False,1995
110,KGZ,85.54444095166957,171.40312366676605,False,1995
111,KHM,23.2259718162568,117.4256523278774,False,1995
112,KIR,7.1945460857240215,248.44019437136555,False,1995
113,KNA,16.825409041469346,473.4407585384977,True,1995
114,KOR,323.04466296606176,622.5685546808547,False,1995
115,KWT,3.360602307016715,356.9320420768701,False,1995
116,LAO,34.89806051454543,221.3643486977244,False,1995
117,LBN,141.38575893693067,560.9950433059871,False,1995
118,LBR,2.245303571672667,4.407097246086384,False,1995
119,LBY,2.800087237421052,405.5041034496516,False,1995
120,LCA,18.44168836911024,248.36281249674087,True,1995
121,LKA,158.0361930170284,553.82262074793,False,1995
